;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 15/09/2021 20:39:39
;----------------------------------------------

;Address Opcode 	ASM
0x03D4	0x0CF5      	RRF        R5, 1
;__Lib_MathDouble.c,483 :: 		
0x03D5	0x0CF4      	RRF        R4, 1
;__Lib_MathDouble.c,484 :: 		
0x03D6	0x0CF9      	RRF        R9, 1
;__Lib_MathDouble.c,485 :: 		
0x03D7	0x0BF7      	DECFSZ     R7, 1
;__Lib_MathDouble.c,486 :: 		
0x03D8	0x2BD2      	GOTO       ALOOPB32
;__Lib_MathDouble.c,487 :: 		
ALIGNED32:
;__Lib_MathDouble.c,488 :: 		
0x03D9	0x1FA1      	BTFSS      __math_tempbD, 7
;__Lib_MathDouble.c,489 :: 		
0x03DA	0x2BE6      	GOTO       AOK32
;__Lib_MathDouble.c,490 :: 		
0x03DB	0x09F9      	COMF       R9, 1
;__Lib_MathDouble.c,491 :: 		
0x03DC	0x09F4      	COMF       R4, 1
;__Lib_MathDouble.c,492 :: 		
0x03DD	0x09F5      	COMF       R5, 1
;__Lib_MathDouble.c,493 :: 		
0x03DE	0x09F6      	COMF       R6, 1
;__Lib_MathDouble.c,494 :: 		
0x03DF	0x0AF9      	INCF       R9, 1
;__Lib_MathDouble.c,495 :: 		
0x03E0	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,496 :: 		
0x03E1	0x0AF4      	INCF       R4, 1
;__Lib_MathDouble.c,497 :: 		
0x03E2	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,498 :: 		
0x03E3	0x0AF5      	INCF       R5, 1
;__Lib_MathDouble.c,499 :: 		
0x03E4	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,500 :: 		
0x03E5	0x0AF6      	INCF       R6, 1
;__Lib_MathDouble.c,501 :: 		
AOK32:
;__Lib_MathDouble.c,502 :: 		
0x03E6	0x0879      	MOVF       R9, 0
;__Lib_MathDouble.c,503 :: 		
0x03E7	0x07F8      	ADDWF      R8, 1
;__Lib_MathDouble.c,504 :: 		
0x03E8	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,505 :: 		
0x03E9	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,506 :: 		
0x03EA	0x0F74      	INCFSZ     R4, 0
;__Lib_MathDouble.c,507 :: 		
0x03EB	0x07F0      	ADDWF      R0, 1
;__Lib_MathDouble.c,508 :: 		
0x03EC	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,509 :: 		
0x03ED	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,510 :: 		
0x03EE	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,511 :: 		
0x03EF	0x07F1      	ADDWF      R1, 1
;__Lib_MathDouble.c,512 :: 		
0x03F0	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,513 :: 		
0x03F1	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,514 :: 		
0x03F2	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,515 :: 		
0x03F3	0x07F2      	ADDWF      R2, 1
;__Lib_MathDouble.c,516 :: 		
0x03F4	0x1BA1      	BTFSC      __math_tempbD, 7
;__Lib_MathDouble.c,517 :: 		
0x03F5	0x2BFF      	GOTO       ACOMP32
;__Lib_MathDouble.c,518 :: 		
0x03F6	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,519 :: 		
0x03F7	0x2C0F      	GOTO       JMPNRMRND4032
;__Lib_MathDouble.c,520 :: 		
0x03F8	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,521 :: 		
0x03F9	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,522 :: 		
0x03FA	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,523 :: 		
0x03FB	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,524 :: 		
0x03FC	0x0FF3      	INCFSZ     R3, 1
;__Lib_MathDouble.c,525 :: 		
0x03FD	0x2C0F      	GOTO       JMPNRMRND4032
;__Lib_MathDouble.c,526 :: 		
0x03FE	0x2C1B      	GOTO       ADD_JMPSETFOV32
;__Lib_MathDouble.c,527 :: 		
ACOMP32:
;__Lib_MathDouble.c,528 :: 		
0x03FF	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,529 :: 		
0x0400	0x2C13      	GOTO       JMPNRM4032
;__Lib_MathDouble.c,530 :: 		
0x0401	0x09F8      	COMF       R8, 1
;__Lib_MathDouble.c,531 :: 		
0x0402	0x09F0      	COMF       R0, 1
;__Lib_MathDouble.c,532 :: 		
0x0403	0x09F1      	COMF       R1, 1
;__Lib_MathDouble.c,533 :: 		
0x0404	0x09F2      	COMF       R2, 1
;__Lib_MathDouble.c,534 :: 		
0x0405	0x0AF8      	INCF       R8, 1
;__Lib_MathDouble.c,535 :: 		
0x0406	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,536 :: 		
0x0407	0x0AF0      	INCF       R0, 1
;__Lib_MathDouble.c,537 :: 		
0x0408	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,538 :: 		
0x0409	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,539 :: 		
0x040A	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,540 :: 		
0x040B	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,541 :: 		
0x040C	0x3080      	MOVLW      128
;__Lib_MathDouble.c,542 :: 		
0x040D	0x06FA      	XORWF      R10, 1
;__Lib_MathDouble.c,543 :: 		
0x040E	0x2C17      	GOTO       JMPNRM32
;__Lib_MathDouble.c,544 :: 		
JMPNRMRND4032:
;__Lib_MathDouble.c,545 :: 		
0x040F	0x3001      	MOVLW      1
;__Lib_MathDouble.c,546 :: 		
0x0410	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,548 :: 		
0x0411	0x22CA      	CALL       _NRM4032
;__Lib_MathDouble.c,550 :: 		
0x0412	0x2C21      	GOTO       ADD32EEE
;__Lib_MathDouble.c,551 :: 		
JMPNRM4032:
;__Lib_MathDouble.c,552 :: 		
0x0413	0x3002      	MOVLW      2
;__Lib_MathDouble.c,553 :: 		
0x0414	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,555 :: 		
0x0415	0x22CA      	CALL       _NRM4032
;__Lib_MathDouble.c,557 :: 		
0x0416	0x2C21      	GOTO       ADD32EEE
;__Lib_MathDouble.c,558 :: 		
JMPNRM32:
;__Lib_MathDouble.c,559 :: 		
0x0417	0x3004      	MOVLW      4
;__Lib_MathDouble.c,560 :: 		
0x0418	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,562 :: 		
0x0419	0x2123      	CALL       _NRM3232
;__Lib_MathDouble.c,564 :: 		
0x041A	0x2C21      	GOTO       ADD32EEE
;__Lib_MathDouble.c,565 :: 		
ADD_JMPSETFOV32:
;__Lib_MathDouble.c,566 :: 		
0x041B	0x3008      	MOVLW      8
;__Lib_MathDouble.c,567 :: 		
0x041C	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,569 :: 		
0x041D	0x209F      	CALL       _SETFOV32
;__Lib_MathDouble.c,571 :: 		
0x041E	0x2C21      	GOTO       ADD32EEE
;__Lib_MathDouble.c,572 :: 		
JMPEEE:
;__Lib_MathDouble.c,573 :: 		
0x041F	0x3000      	MOVLW      0
;__Lib_MathDouble.c,574 :: 		
0x0420	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,575 :: 		
ADD32EEE:
;__Lib_MathDouble.c,576 :: 		
0x0421	0x0000      	NOP
;__Lib_MathDouble.c,584 :: 		
L_end_Add_32x32_FP:
0x0422	0x0008      	RETURN
; end of _Add_32x32_FP
_average_temp:
;MyProject.c,254 :: 		long average_temp()
;MyProject.c,257 :: 		unsigned long temp_store = 0;
0x0423	0x1283      	BCF        STATUS, 5
0x0424	0x1303      	BCF        STATUS, 6
0x0425	0x01E9      	CLRF       average_temp_temp_store_L0
0x0426	0x01EA      	CLRF       average_temp_temp_store_L0+1
0x0427	0x01EB      	CLRF       average_temp_temp_store_L0+2
0x0428	0x01EC      	CLRF       average_temp_temp_store_L0+3
;MyProject.c,259 :: 		for(i=0; i<100; i++)
0x0429	0x01E8      	CLRF       average_temp_i_L0
L_average_temp21:
0x042A	0x3064      	MOVLW      100
0x042B	0x0268      	SUBWF      average_temp_i_L0, 0
0x042C	0x1803      	BTFSC      STATUS, 0
0x042D	0x2C4C      	GOTO       L_average_temp22
;MyProject.c,261 :: 		temp_store += ADC_Read(0); //temp_store = temp_store + ADC_Read(0) (faz o somatório das 100 iterações
0x042E	0x01ED      	CLRF       FARG_ADC_Read_channel
0x042F	0x235B      	CALL       _ADC_Read
0x0430	0x3000      	MOVLW      0
0x0431	0x00F2      	MOVWF      R0+2
0x0432	0x00F3      	MOVWF      R0+3
0x0433	0x1283      	BCF        STATUS, 5
0x0434	0x0869      	MOVF       average_temp_temp_store_L0, 0
0x0435	0x07F0      	ADDWF      R0, 1
0x0436	0x086A      	MOVF       average_temp_temp_store_L0+1, 0
0x0437	0x1803      	BTFSC      STATUS, 0
0x0438	0x0F6A      	INCFSZ     average_temp_temp_store_L0+1, 0
0x0439	0x07F1      	ADDWF      R0+1, 1
0x043A	0x086B      	MOVF       average_temp_temp_store_L0+2, 0
0x043B	0x1803      	BTFSC      STATUS, 0
0x043C	0x0F6B      	INCFSZ     average_temp_temp_store_L0+2, 0
0x043D	0x07F2      	ADDWF      R0+2, 1
0x043E	0x086C      	MOVF       average_temp_temp_store_L0+3, 0
0x043F	0x1803      	BTFSC      STATUS, 0
0x0440	0x0F6C      	INCFSZ     average_temp_temp_store_L0+3, 0
0x0441	0x07F3      	ADDWF      R0+3, 1
0x0442	0x0870      	MOVF       R0, 0
0x0443	0x00E9      	MOVWF      average_temp_temp_store_L0
0x0444	0x0871      	MOVF       R0+1, 0
0x0445	0x00EA      	MOVWF      average_temp_temp_store_L0+1
0x0446	0x0872      	MOVF       R0+2, 0
0x0447	0x00EB      	MOVWF      average_temp_temp_store_L0+2
0x0448	0x0873      	MOVF       R0+3, 0
0x0449	0x00EC      	MOVWF      average_temp_temp_store_L0+3
;MyProject.c,259 :: 		for(i=0; i<100; i++)
0x044A	0x0AE8      	INCF       average_temp_i_L0, 1
;MyProject.c,262 :: 		}
0x044B	0x2C2A      	GOTO       L_average_temp21
L_average_temp22:
;MyProject.c,264 :: 		return(temp_store/100); //retorna a média das iterações
0x044C	0x3064      	MOVLW      100
0x044D	0x00F4      	MOVWF      R4
0x044E	0x01F5      	CLRF       R4+1
0x044F	0x01F6      	CLRF       R4+2
0x0450	0x01F7      	CLRF       R4+3
0x0451	0x0869      	MOVF       average_temp_temp_store_L0, 0
0x0452	0x00F0      	MOVWF      R0
0x0453	0x086A      	MOVF       average_temp_temp_store_L0+1, 0
0x0454	0x00F1      	MOVWF      R0+1
0x0455	0x086B      	MOVF       average_temp_temp_store_L0+2, 0
0x0456	0x00F2      	MOVWF      R0+2
0x0457	0x086C      	MOVF       average_temp_temp_store_L0+3, 0
0x0458	0x00F3      	MOVWF      R0+3
0x0459	0x2152      	CALL       _Div_32x32_U
;MyProject.c,265 :: 		}
L_end_average_temp:
0x045A	0x0008      	RETURN
; end of _average_temp
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x045B	0x2C6D      	GOTO       L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x045C	0x3080      	MOVLW      128
0x045D	0x1283      	BCF        STATUS, 5
0x045E	0x1303      	BCF        STATUS, 6
0x045F	0x00E8      	MOVWF      FARG_Lcd_Out_row
0x0460	0x2C80      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x0461	0x30C0      	MOVLW      192
0x0462	0x00E8      	MOVWF      FARG_Lcd_Out_row
0x0463	0x2C80      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x0464	0x3094      	MOVLW      148
0x0465	0x00E8      	MOVWF      FARG_Lcd_Out_row
0x0466	0x2C80      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x0467	0x30D4      	MOVLW      212
0x0468	0x00E8      	MOVWF      FARG_Lcd_Out_row
0x0469	0x2C80      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x046A	0x3080      	MOVLW      128
0x046B	0x00E8      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,193 :: 		
0x046C	0x2C80      	GOTO       L_Lcd_Out12
L_Lcd_Out11:
0x046D	0x1283      	BCF        STATUS, 5
0x046E	0x1303      	BCF        STATUS, 6
0x046F	0x0868      	MOVF       FARG_Lcd_Out_row, 0
0x0470	0x3A01      	XORLW      1
0x0471	0x1903      	BTFSC      STATUS, 2
0x0472	0x2C5C      	GOTO       L_Lcd_Out13
0x0473	0x0868      	MOVF       FARG_Lcd_Out_row, 0
0x0474	0x3A02      	XORLW      2
0x0475	0x1903      	BTFSC      STATUS, 2
0x0476	0x2C61      	GOTO       L_Lcd_Out14
0x0477	0x0868      	MOVF       FARG_Lcd_Out_row, 0
0x0478	0x3A03      	XORLW      3
0x0479	0x1903      	BTFSC      STATUS, 2
0x047A	0x2C64      	GOTO       L_Lcd_Out15
0x047B	0x0868      	MOVF       FARG_Lcd_Out_row, 0
0x047C	0x3A04      	XORLW      4
0x047D	0x1903      	BTFSC      STATUS, 2
0x047E	0x2C67      	GOTO       L_Lcd_Out16
0x047F	0x2C6A      	GOTO       L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x0480	0x0369      	DECF       FARG_Lcd_Out_column, 0
0x0481	0x00F0      	MOVWF      R0
0x0482	0x0868      	MOVF       FARG_Lcd_Out_row, 0
0x0483	0x07F0      	ADDWF      R0, 1
0x0484	0x0870      	MOVF       R0, 0
0x0485	0x00E8      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x0486	0x0870      	MOVF       R0, 0
0x0487	0x1683      	BSF        STATUS, 5
0x0488	0x00A0      	MOVWF      FARG_Lcd_Cmd_out_char
0x0489	0x20AB      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x048A	0x1056      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,198 :: 		
0x048B	0x01EB      	CLRF       Lcd_Out_i_L0
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x048C	0x086B      	MOVF       Lcd_Out_i_L0, 0
0x048D	0x076A      	ADDWF      FARG_Lcd_Out_text, 0
0x048E	0x0084      	MOVWF      FSR
0x048F	0x0800      	MOVF       INDF, 0
0x0490	0x1903      	BTFSC      STATUS, 2
0x0491	0x2C9A      	GOTO       L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x0492	0x086B      	MOVF       Lcd_Out_i_L0, 0
0x0493	0x076A      	ADDWF      FARG_Lcd_Out_text, 0
0x0494	0x0084      	MOVWF      FSR
0x0495	0x0800      	MOVF       INDF, 0
0x0496	0x00ED      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0497	0x2106      	CALL       _Lcd_Chr_CP
0x0498	0x0AEB      	INCF       Lcd_Out_i_L0, 1
0x0499	0x2C8C      	GOTO       L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x049A	0x1456      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x049B	0x0008      	RETURN
; end of _Lcd_Out
_longword2double:
;__Lib_MathDouble.c,1958 :: 		
;__Lib_MathDouble.c,1963 :: 		
0x049C	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,1964 :: 		
0x049D	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,1966 :: 		
0x049E	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,1967 :: 		
0x049F	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,1968 :: 		
0x04A0	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,1969 :: 		
0x04A1	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1970 :: 		
0x04A2	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,1971 :: 		
0x04A3	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1972 :: 		
0x04A4	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1973 :: 		
0x04A5	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,1974 :: 		
0x04A6	0x01F3      	CLRF       R3
;__Lib_MathDouble.c,1977 :: 		
0x04A7	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,1978 :: 		
0x04A8	0x01FC      	CLRF       R12
;__Lib_MathDouble.c,1980 :: 		
0x04A9	0x309E      	MOVLW      158
;__Lib_MathDouble.c,1981 :: 		
0x04AA	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1982 :: 		
0x04AB	0x01FA      	CLRF       R10
;__Lib_MathDouble.c,1983 :: 		
0x04AC	0x3002      	MOVLW      2
;__Lib_MathDouble.c,1984 :: 		
0x04AD	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1986 :: 		
0x04AE	0x22CA      	CALL       _NRM4032
;__Lib_MathDouble.c,1987 :: 		
L_end_longword2double:
0x04AF	0x0008      	RETURN
; end of _longword2double
_Mul_32x32_U:
;__Lib_Math.c,1775 :: 		
;__Lib_Math.c,1790 :: 		
0x04B0	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,1791 :: 		
0x04B1	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,1792 :: 		
0x04B2	0x3022      	MOVLW      34
;__Lib_Math.c,1793 :: 		
0x04B3	0x00FC      	MOVWF      R12
;__Lib_Math.c,1794 :: 		
0x04B4	0x01F8      	CLRF       R8
;__Lib_Math.c,1795 :: 		
0x04B5	0x01F9      	CLRF       R9
;__Lib_Math.c,1796 :: 		
0x04B6	0x01FA      	CLRF       R10
;__Lib_Math.c,1797 :: 		
0x04B7	0x01FB      	CLRF       R11
;__Lib_Math.c,1799 :: 		
_NEXT:
;__Lib_Math.c,1803 :: 		
0x04B8	0x03FC      	DECF       R12, 1
;__Lib_Math.c,1804 :: 		
0x04B9	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,1805 :: 		
0x04BA	0x2CE6      	GOTO       _EXIT2
;__Lib_Math.c,1806 :: 		
0x04BB	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,1808 :: 		
_LOOP:
;__Lib_Math.c,1817 :: 		
0x04BC	0x0CFB      	RRF        R11, 1
;__Lib_Math.c,1818 :: 		
0x04BD	0x0CFA      	RRF        R10, 1
;__Lib_Math.c,1819 :: 		
0x04BE	0x0CF9      	RRF        R9, 1
;__Lib_Math.c,1820 :: 		
0x04BF	0x0CF8      	RRF        R8, 1
;__Lib_Math.c,1821 :: 		
0x04C0	0x0CF3      	RRF        R3, 1
;__Lib_Math.c,1822 :: 		
0x04C1	0x0CF2      	RRF        R2, 1
;__Lib_Math.c,1823 :: 		
0x04C2	0x0CF1      	RRF        R1, 1
;__Lib_Math.c,1824 :: 		
0x04C3	0x0CF0      	RRF        R0, 1
;__Lib_Math.c,1829 :: 		
0x04C4	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1830 :: 		
0x04C5	0x2CB8      	GOTO       _NEXT
;__Lib_Math.c,1831 :: 		
0x04C6	0x03FC      	DECF       R12, 1
;__Lib_Math.c,1832 :: 		
0x04C7	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,1833 :: 		
0x04C8	0x2CD8      	GOTO       _EXIT1
;__Lib_Math.c,1840 :: 		
0x04C9	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1841 :: 		
0x04CA	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1842 :: 		
0x04CB	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1843 :: 		
0x04CC	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1844 :: 		
0x04CD	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1845 :: 		
0x04CE	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1846 :: 		
0x04CF	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1847 :: 		
0x04D0	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1848 :: 		
0x04D1	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1849 :: 		
0x04D2	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1850 :: 		
0x04D3	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1851 :: 		
0x04D4	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1852 :: 		
0x04D5	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1853 :: 		
0x04D6	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1855 :: 		
0x04D7	0x2CBC      	GOTO       _LOOP
;__Lib_Math.c,1857 :: 		
_EXIT1:
;__Lib_Math.c,1862 :: 		
0x04D8	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1863 :: 		
0x04D9	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1864 :: 		
0x04DA	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1865 :: 		
0x04DB	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1866 :: 		
0x04DC	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1867 :: 		
0x04DD	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1868 :: 		
0x04DE	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1869 :: 		
0x04DF	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1870 :: 		
0x04E0	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1871 :: 		
0x04E1	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1872 :: 		
0x04E2	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1873 :: 		
0x04E3	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1874 :: 		
0x04E4	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1875 :: 		
0x04E5	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1878 :: 		
_EXIT2:
;__Lib_Math.c,1880 :: 		
L_end_Mul_32x32_U:
0x04E6	0x0008      	RETURN
; end of _Mul_32x32_U
_double2longword:
;__Lib_MathDouble.c,1029 :: 		
;__Lib_MathDouble.c,1037 :: 		
0x04E7	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,1038 :: 		
0x04E8	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,1040 :: 		
0x04E9	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,1041 :: 		
0x04EA	0x01FC      	CLRF       R12
;__Lib_MathDouble.c,1042 :: 		
0x04EB	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,1043 :: 		
0x04EC	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1044 :: 		
0x04ED	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1045 :: 		
0x04EE	0x2D60      	GOTO       INT3232UEOK
;__Lib_MathDouble.c,1046 :: 		
0x04EF	0x17F2      	BSF        R2, 7
;__Lib_MathDouble.c,1047 :: 		
0x04F0	0x309E      	MOVLW      158
;__Lib_MathDouble.c,1048 :: 		
0x04F1	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,1049 :: 		
0x04F2	0x1BF3      	BTFSC      R3, 7
;__Lib_MathDouble.c,1050 :: 		
0x04F3	0x2CF7      	GOTO       SETEXP32U
;__Lib_MathDouble.c,1051 :: 		
0x04F4	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1052 :: 		
0x04F5	0x2CF7      	GOTO       SETEXP32U
;__Lib_MathDouble.c,1053 :: 		
0x04F6	0x2D50      	GOTO       SETIOV32U
;__Lib_MathDouble.c,1054 :: 		
SETEXP32U:
;__Lib_MathDouble.c,1055 :: 		
0x04F7	0x09F3      	COMF       R3, 1
;__Lib_MathDouble.c,1056 :: 		
0x04F8	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,1057 :: 		
0x04F9	0x3008      	MOVLW      8
;__Lib_MathDouble.c,1058 :: 		
0x04FA	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,1059 :: 		
0x04FB	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1060 :: 		
0x04FC	0x2D25      	GOTO       TSHIFT3232U
;__Lib_MathDouble.c,1061 :: 		
0x04FD	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1062 :: 		
0x04FE	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,1063 :: 		
0x04FF	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,1064 :: 		
0x0500	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,1065 :: 		
0x0501	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,1066 :: 		
0x0502	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1067 :: 		
0x0503	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,1068 :: 		
0x0504	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1069 :: 		
0x0505	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1071 :: 		
0x0506	0x3008      	MOVLW      8
;__Lib_MathDouble.c,1072 :: 		
0x0507	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,1073 :: 		
0x0508	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1074 :: 		
0x0509	0x2D25      	GOTO       TSHIFT3232U
;__Lib_MathDouble.c,1075 :: 		
0x050A	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1076 :: 		
0x050B	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,1077 :: 		
0x050C	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,1078 :: 		
0x050D	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,1079 :: 		
0x050E	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,1080 :: 		
0x050F	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1081 :: 		
0x0510	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,1083 :: 		
0x0511	0x3008      	MOVLW      8
;__Lib_MathDouble.c,1084 :: 		
0x0512	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,1085 :: 		
0x0513	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1086 :: 		
0x0514	0x2D25      	GOTO       TSHIFT3232U
;__Lib_MathDouble.c,1087 :: 		
0x0515	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1088 :: 		
0x0516	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,1089 :: 		
0x0517	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,1090 :: 		
0x0518	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,1091 :: 		
0x0519	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,1093 :: 		
0x051A	0x3008      	MOVLW      8
;__Lib_MathDouble.c,1094 :: 		
0x051B	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,1095 :: 		
0x051C	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1096 :: 		
0x051D	0x2D25      	GOTO       TSHIFT3232U
;__Lib_MathDouble.c,1097 :: 		
